VCD info: dumpfile parking_tb.vcd opened for output.
Time: 215 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 220 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 225 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 230 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 235 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 245 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 1 | Parked Car: 0 | Uni Vacated Space: 499 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 250 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 1 | Parked Car: 0 | Uni Vacated Space: 499 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 255 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 265 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 270 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
